"code","country"
"None","None"
"AUT","Austria"
"BLR","Belarus"
"BGR","Bulgaria"
"CAN","Canada"
"CHL","Chile"
"CZE","Czech Republic"
"EST","Estonia"
"FIN","Finland"
"FRATNP","France"
"DEUTNP","Germany"
"DEUTW","Germany, West"
"DEUTE","Germany, East"
"HUN","Hungary"
"ISL","Iceland"
"JPN","Japan"
"LTU","Lithuania"
"NLD","Netherlands"
"NOR","Norway"
"PRT","Portugal"
"RUS","Russia"
"SVK","Slovakia"
"SVN","Slovenia"
"SWE","Sweden"
"CHE","Switzerland"
"TWN","Taiwan"
"UKR","Ukraine"
"GBR_NP","UK"
"GBRTENW","UK, England and Wales"
"GBR_SCO","UK, Scotland"
"GBR_NIR","UK, Northern Ireland"
"USA","United States of America"
