Date,Trump,Cruz,Rubio,Carson,Kasich,Bush,Christie,Fiorina,Gilmore,Graham,Huckabee,Jindal,Pataki,Perry,Rand.Paul,Santorum,Walker,Undecided,DOW
2012-11-30,NA,NA,18,NA,NA,12,14,NA,NA,NA,11,NA,NA,NA,7,4,NA,7,5
2013-01-03,NA,NA,21,NA,NA,14,14,NA,NA,NA,15,3,NA,2,5,NA,NA,7,4
2013-01-12,NA,NA,16,NA,NA,6,11,NA,NA,NA,NA,3,NA,2,3,4,NA,30,6
2013-01-19,NA,NA,22,NA,NA,7,9,NA,NA,NA,NA,1,NA,2,3,7,NA,29,6
2013-01-31,NA,NA,22,NA,NA,13,13,NA,NA,NA,11,4,NA,3,10,NA,NA,8,4
2013-02-16,NA,NA,19,NA,NA,3,12,NA,NA,NA,NA,2,NA,2,4,1,NA,35,6
2013-02-23,NA,NA,17,NA,NA,9,12,NA,NA,NA,NA,1,NA,1,4,2,NA,24,6
2013-03-26,NA,NA,19,NA,NA,10,14,NA,NA,NA,NA,3,NA,NA,15,NA,2,18,2
2013-03-27,NA,NA,21,NA,NA,12,15,NA,NA,NA,NA,4,NA,2,17,5,NA,10,3
2013-05-06,NA,7,16,NA,NA,15,15,NA,NA,NA,NA,3,NA,NA,14,5,NA,15,1
2013-06-01,NA,NA,9,NA,NA,8,9,NA,NA,NA,NA,3,NA,NA,13,1,NA,31,6
2013-06-08,NA,NA,9,NA,NA,7,12,NA,NA,NA,NA,1,NA,NA,13,4,NA,33,6
2013-06-15,NA,NA,11,NA,NA,9,13,NA,NA,NA,NA,2,NA,NA,16,3,NA,28,6
2013-06-22,NA,NA,14,NA,NA,9,11,NA,NA,NA,NA,1,NA,NA,11,4,NA,32,6
2013-06-29,NA,NA,10,NA,NA,11,9,NA,NA,NA,NA,4,NA,NA,12,6,NA,26,6
2013-07-06,NA,NA,12,NA,NA,9,8,NA,NA,NA,NA,5,NA,NA,12,4,NA,NA,6
2013-07-13,NA,NA,8,NA,NA,12,11,NA,NA,NA,NA,2,NA,5,12,4,2,24,6
2013-07-15,NA,7,12,NA,NA,10,15,NA,NA,NA,NA,1,NA,4,9,2,2,25,1
2013-07-19,NA,12,10,NA,NA,13,13,NA,NA,NA,NA,4,NA,NA,16,4,NA,13,5
2013-08-01,NA,NA,18,NA,NA,16,21,NA,NA,NA,NA,NA,NA,NA,15,NA,6,8,4
2013-09-06,NA,7,9,NA,NA,10,17,NA,NA,NA,NA,NA,NA,6,13,5,NA,10,5
2013-09-23,NA,10,12,NA,NA,11,13,NA,NA,NA,NA,3,NA,NA,17,NA,4,20,1
2013-09-25,NA,20,10,NA,NA,11,14,NA,NA,NA,NA,4,NA,NA,17,3,3,9,3
2013-09-30,NA,16,9,NA,NA,9,14,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,25,1
2013-10-19,NA,16,13,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,24,6
2013-10-26,NA,12,4,NA,NA,4,20,NA,NA,NA,NA,NA,NA,NA,7,NA,5,35,6
2013-10-29,NA,14,9,NA,NA,12,15,NA,NA,NA,NA,5,NA,NA,13,4,NA,12,2
2013-11-18,NA,10,9,NA,NA,6,24,NA,NA,NA,NA,NA,NA,7,13,6,NA,8,1
2013-12-03,NA,11.5,7,NA,NA,10.5,17.5,NA,NA,NA,NA,NA,NA,NA,13,NA,4.5,15.5,2
2013-12-12,NA,14,7,NA,NA,10,19,NA,NA,NA,13,3,NA,NA,11,NA,4,10,4
2013-12-14,NA,9.5,7,NA,NA,9.5,17,NA,NA,NA,NA,NA,NA,NA,12,NA,6.5,13,6
2014-01-11,NA,8,12,NA,NA,14,18,NA,NA,NA,16,NA,NA,NA,6,NA,5,10,6
2014-01-12,NA,5,7,NA,NA,8,16,NA,NA,NA,NA,3,NA,6,9,5,4,25,0
2014-01-15,NA,9,8,NA,2,11,12,NA,NA,NA,NA,3,NA,NA,13,NA,6,23,3
2014-01-20,NA,12,10,NA,NA,18,13,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,14,1
2014-01-23,NA,8,8,NA,NA,14,13,NA,NA,NA,16,5,NA,NA,11,NA,6,10,4
2014-01-31,NA,8,9,NA,NA,10,10,NA,NA,NA,14,NA,NA,8,13,4,NA,7,5
2014-02-04,NA,5,12,NA,1,8,13,NA,NA,NA,13,NA,NA,2,9,2,7,12,2
2014-03-06,NA,11,6,NA,NA,15,14,NA,NA,NA,18,4,NA,NA,14,NA,5,9,4
2014-03-07,NA,8,5,NA,NA,9,8,NA,NA,NA,10,NA,NA,11,16,3,NA,9,5
2014-03-18,NA,9,6,NA,NA,11,9,NA,NA,NA,13,3,NA,1,13,3,5,20,2
2014-03-26,NA,6,6,NA,NA,11,10,NA,NA,NA,15,1,NA,NA,11,NA,5,24,3
2014-04-07,NA,4,7,NA,0,13,12,NA,NA,NA,13,4,NA,3,12,3,5,14,1
2014-04-13,NA,7,8,NA,NA,14,15,NA,NA,NA,NA,2,NA,5,14,5,5,9,0
2014-04-24,NA,7,6,NA,1,12,9,NA,NA,NA,14,2,NA,5,15,NA,5,9,4
2014-05-02,NA,7,6,NA,NA,13,9,NA,NA,NA,10,NA,NA,8,13,2,7,11,5
2014-05-29,NA,9,8,NA,NA,12,8,NA,NA,NA,11,NA,NA,6,14,4,5,7,4
2014-06-24,NA,8,6,NA,2,10,10,NA,NA,NA,10,1,NA,3,11,2,8,22,2
2014-06-27,NA,NA,7,NA,1,13,13,NA,NA,NA,NA,4,NA,NA,20,NA,8,NA,5
2014-07-18,NA,8,6,NA,NA,8,13,NA,NA,NA,12,NA,NA,11,12,3,5,5,5
2014-07-20,NA,9,9,NA,2,12,10,NA,NA,NA,NA,4,NA,12,11,3,4,6,0
2014-08-04,NA,10,9,NA,NA,13,13,NA,NA,NA,NA,2,NA,7,7,3,4,23,1
2014-10-09,NA,3,6,6,1,10,8,NA,NA,NA,10,1,NA,5,9,4,1,8,4
2014-11-18,NA,5,2,8,2,11,8,NA,NA,NA,5,2,NA,2,6,1,5,17,2
2014-11-21,NA,5,3,10,2,9,8,NA,NA,NA,7,1,NA,4,6,2,5,5,5
2014-12-03,NA,4,3,8,2,14,9,1,NA,NA,9,1,NA,4,5,3,3,13,3
2014-12-07,NA,5,4,6,2,10,8,NA,NA,NA,8,1,NA,2,8,1,7,8,0
2014-12-11,NA,6,4,7,2,10,6,NA,NA,NA,6,2,NA,4,9,3,5,8,4
2014-12-18,NA,4,5,7,3,23,13,NA,NA,NA,6,4,NA,4,6,2,4,8,4
2015-01-10,NA,9,2,10,NA,12,3,NA,NA,0,8,NA,NA,2,8,NA,6,6,6
2015-01-22,NA,9,NA,15,NA,17,7,NA,NA,NA,9,NA,NA,2,4,NA,11,5,4
2015-01-25,NA,4,5,9,1,10,4,NA,NA,1,11,2,NA,4,11,1,8,5,0
2015-02-12,NA,3,5,8,2,14,7,1,NA,1,16,1,NA,3,10,3,11,10,4
2015-02-20,NA,5,3,18,NA,17,5,NA,NA,NA,10,NA,NA,3,4,NA,25,11,5
2015-02-21,NA,5,8,6,1,16,7,0,NA,3,10,3,NA,3,10,2,18,5,6
2015-02-26,NA,6,5,7,1,16,8,NA,NA,1,8,2,NA,1,6,2,18,19,4
2015-03-01,NA,4,5,9,NA,19,6,2,NA,1,10,NA,NA,3,7,2,18,13,0
2015-03-13,NA,4,7,9,2,16,7,0,NA,1,10,1,NA,4,12,1,13,9,5
2015-03-21,NA,8,5,10,2,14,6,3,NA,1,5,2,NA,5,5,1,19,11,6
2015-03-26,NA,14,7,8,NA,19,5.5,NA,NA,NA,7,NA,NA,2.5,9,NA,16.5,8,4
2015-03-29,3,10,8,11,1,12,4,1,NA,0,10,2,1,3,9,2,15,6,0
2015-03-30,7,11,5,7,1,13,5,1,NA,1,9,1,0,5,6,1,11,16,1
