"Trump","Rubio","Cruz","Bush","Carson","Christie","Rand Paul","Fiorina","Kasich","Jindal","date"
42.4,17.5,17.5,,8.5,,,,6.8,,"2016-02-28"
42,17.3,17.6,,8.6,,,,6.8,,"2016-02-27"
41.1,16.9,17.8,,8.6,,,,6.7,,"2016-02-25"
40.7,16.7,17.9,4.4,8.6,,,,6.7,,"2016-02-24"
39.8,16.2,18.1,,8.7,,,,6.5,,"2016-02-22"
39.4,16,18.2,4.8,8.7,,,,6.5,,"2016-02-21"
37.8,15.2,18.6,5.2,8.8,,,,6.2,,"2016-02-17"
37.5,15,18.6,5.3,8.8,,,,6.1,,"2016-02-16"
37.3,14.8,18.7,5.3,8.8,,,,6,,"2016-02-15"
37.1,14.9,18.7,5.4,8.7,,,2.1,5.7,,"2016-02-14"
36.7,14.8,18.7,5.5,8.5,,,,4.9,,"2016-02-11"
36.6,14.7,18.7,5.5,8.5,3.1,,2.2,4.7,,"2016-02-10"
36.7,14.3,18.6,5.2,8.2,3,3.1,2.2,4,,"2016-02-07"
36.4,14,18.6,5.1,8.1,3,,2.2,3.2,,"2016-02-04"
36.4,13.7,18.5,5.1,8.1,3,3,2.2,3.1,,"2016-02-03"
36.4,13.1,18.2,5.1,8,3,3,2.2,3,,"2016-02-01"
36.5,12.8,18,5,8,3,3,2.2,3,,"2016-01-31"
36.6,12.5,17.9,5.1,8,3,3,2.2,2.9,,"2016-01-30"
36.9,11.5,17.5,5.1,8,2.9,3,2.1,2.8,,"2016-01-27"
37,11.3,17.4,5.2,8,2.9,2.9,2.1,2.8,,"2016-01-26"
37.2,10.7,17.2,5.2,8.1,2.9,2.9,2.1,2.7,,"2016-01-24"
37.2,10.2,17.1,5.4,8.2,3,2.8,2.2,2.5,,"2016-01-21"
37.2,10.3,17.2,5.4,8.3,3.1,2.8,2.2,2.5,,"2016-01-20"
37.3,10.2,17.2,5.4,8.3,3.2,2.8,2.3,2.5,,"2016-01-19"
37.3,10.2,17.4,5.4,8.3,3.2,2.7,2.3,2.5,,"2016-01-18"
37.3,10.3,17.5,5.3,8.3,3.2,2.7,2.3,2.5,,"2016-01-17"
37.3,10.6,17.9,5.3,8.4,3.3,2.8,2.4,2.4,,"2016-01-13"
37.3,10.8,17.9,5.3,8.6,3.4,2.8,2.4,2.3,,"2016-01-11"
37.3,10.9,18,5.3,8.7,3.4,2.8,2.4,2.3,,"2016-01-10"
37.2,11.1,18,5.3,8.9,3.4,2.8,2.4,2.2,,"2016-01-08"
37.2,11.2,17.9,5.4,9,3.4,2.8,2.4,2.1,,"2016-01-07"
37.3,11.2,17.7,5.4,9.1,3.3,2.8,2.4,2.1,,"2016-01-06"
37.2,11.3,17.5,5.4,9.2,3.4,2.8,2.3,2.1,,"2016-01-03"
37,11.3,17.4,5.3,9.1,3.5,2.8,2.4,2.1,,"2015-12-30"
36.9,11.4,16.4,5.6,9.5,3.5,2.7,2.4,2,,"2015-12-23"
