"Trump","Cruz","Rubio","Kasich","Carson","Bush","Christie","Rand Paul","Fiorina","Jindal","date"
39.9,22.6,17.8,11.4,7.1,,,,,,"2016-03-09"
39.8,21.8,17.6,10.5,7.4,,,,,,"2016-03-06"
39.5,20.8,17.2,9.3,7.8,,,,,,"2016-03-02"
39.2,20.1,17,8.5,8.1,,,,,,"2016-02-28"
39.1,19.8,16.9,8.2,8.2,,,,,,"2016-02-27"
39.1,19.3,16.8,7.7,8.4,,,,,,"2016-02-25"
39.1,19,16.6,7.5,8.5,4.4,,,,,"2016-02-24"
39.1,18.5,16.2,7.1,8.6,,,,,,"2016-02-22"
38.9,18.5,16,7,8.7,4.8,,,,,"2016-02-21"
37.6,18.7,15.2,6.4,8.7,5.2,,,,,"2016-02-17"
37.4,18.7,15,6.2,8.8,5.3,,,,,"2016-02-16"
37.2,18.7,14.8,6,8.8,5.3,,,,,"2016-02-15"
37.1,18.7,14.9,5.7,8.7,5.4,,,2.1,,"2016-02-14"
36.7,18.7,14.8,4.9,8.5,5.5,,,,,"2016-02-11"
36.7,18.7,14.7,4.7,8.4,5.5,3.1,,2.2,,"2016-02-10"
36.6,18.6,14.3,4,8.2,5.2,3,3.1,2.2,,"2016-02-07"
36.4,18.5,13.9,3.2,8.1,5.1,3,,2.2,,"2016-02-04"
36.4,18.4,13.7,3.2,8.1,5.1,3,3,2.2,,"2016-02-03"
36.4,18.2,13.1,3,8,5.1,3,3,2.2,,"2016-02-01"
36.4,18,12.8,3,8,5,3,3,2.2,,"2016-01-31"
36.5,17.9,12.5,2.9,8,5.1,3,3,2.2,,"2016-01-30"
36.8,17.5,11.5,2.8,8,5.1,2.9,3,2.1,,"2016-01-27"
37,17.4,11.2,2.8,8,5.2,2.9,2.9,2.1,,"2016-01-26"
37.2,17.2,10.7,2.7,8.1,5.2,2.9,2.9,2.1,,"2016-01-24"
37.2,17.2,10.2,2.5,8.2,5.4,3,2.8,2.2,,"2016-01-21"
37.2,17.2,10.3,2.5,8.3,5.4,3.1,2.8,2.2,,"2016-01-20"
37.3,17.4,10.2,2.5,8.3,5.4,3.2,2.8,2.3,,"2016-01-19"
37.3,17.4,10.3,2.5,8.3,5.4,3.2,2.7,2.3,,"2016-01-18"
37.3,17.5,10.3,2.5,8.4,5.3,3.2,2.7,2.3,,"2016-01-17"
37.3,17.8,10.6,2.4,8.5,5.3,3.3,2.8,2.4,,"2016-01-13"
37.3,17.9,10.8,2.3,8.7,5.3,3.4,2.8,2.4,,"2016-01-11"
37.3,17.9,10.9,2.3,8.7,5.3,3.4,2.8,2.4,,"2016-01-10"
37.2,17.9,11.1,2.2,8.9,5.3,3.4,2.8,2.4,,"2016-01-08"
